Player0: Watcher's first state-based alg
Player1: KiteDPS
--- units: 4
Units on each side: 12
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 0.8571428571428571
Win average: 0.875
Win average: 0.8888888888888888
Win average: 0.9
Win average: 0.9090909090909091
Win average: 0.9166666666666666
Win average: 0.9230769230769231
Win average: 0.9285714285714286
Win average: 0.9333333333333333
Win average: 0.9375
Win average: 0.9411764705882353
Win average: 0.9444444444444444
Win average: 0.9473684210526315
Win average: 0.95
Win average: 0.9523809523809523
Win average: 0.9545454545454546
Win average: 0.9565217391304348
Win average: 0.9583333333333334
Win average: 0.96
Win average: 0.9615384615384616
Win average: 0.9629629629629629
Win average: 0.9642857142857143
Win average: 0.9655172413793104
Win average: 0.9666666666666667
Win average: 0.967741935483871
Win average: 0.96875
Win average: 0.9696969696969697
Win average: 0.9705882352941176
Win average: 0.9714285714285714
Win average: 0.9722222222222222
Win average: 0.972972972972973
Win average: 0.9736842105263158
Win average: 0.9743589743589743
Win average: 0.975
Win average: 0.975609756097561
Win average: 0.9761904761904762
Win average: 0.9767441860465116
Win average: 0.9772727272727273
Win average: 0.9777777777777777
Win average: 0.9782608695652174
Win average: 0.9787234042553191
Win average: 0.9791666666666666
Win average: 0.9795918367346939
Win average: 0.98
Win average: 0.9803921568627451
Win average: 0.9807692307692307
Win average: 0.9622641509433962
Win average: 0.9629629629629629
Win average: 0.9636363636363636
Win average: 0.9642857142857143
Win average: 0.9649122807017544
Win average: 0.9655172413793104
Win average: 0.9661016949152542
Win average: 0.9666666666666667
Win average: 0.9672131147540983
Win average: 0.967741935483871
Win average: 0.9682539682539683
Win average: 0.96875
Win average: 0.9692307692307692
Win average: 0.9696969696969697
Win average: 0.9701492537313433
Win average: 0.9705882352941176
Win average: 0.9710144927536232
Win average: 0.9714285714285714
Win average: 0.971830985915493
Win average: 0.9722222222222222
Win average: 0.9726027397260274
Win average: 0.972972972972973
Win average: 0.9733333333333334
Win average: 0.9736842105263158
Win average: 0.974025974025974
Win average: 0.9743589743589743
Win average: 0.9746835443037974
Win average: 0.975
Win average: 0.9753086419753086
Win average: 0.975609756097561
Win average: 0.9759036144578314
Win average: 0.9761904761904762
Win average: 0.9764705882352941
Win average: 0.9767441860465116
Win average: 0.9770114942528736
Win average: 0.9772727272727273
Win average: 0.9775280898876404
Win average: 0.9777777777777777
Win average: 0.978021978021978
Win average: 0.9782608695652174
Win average: 0.978494623655914
Win average: 0.9787234042553191
Win average: 0.9789473684210527
Win average: 0.9791666666666666
Win average: 0.979381443298969
Win average: 0.9795918367346939
Win average: 0.9797979797979798
Win average: 0.98
--------------- Score average: 205.15	Deviation: 85.79503190744786
--------------- Win average: 0.98
AI GAME TEST RESULT: 0.98
--- units: 8
Units on each side: 24
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
--------------- Score average: 274.22	Deviation: 59.78353954057925
--------------- Win average: 1.0
AI GAME TEST RESULT: 1.0
--- units: 16
Units on each side: 48
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
--------------- Score average: 278.82	Deviation: 56.05058072848129
--------------- Win average: 1.0
AI GAME TEST RESULT: 1.0
